#,Product Title,SKU / Product Code,Product URL,Category,Category URL,PLP Issue,Current PLP photo file,Found On (PLP page),Suggested upload filename,Notes
1,Denali Swivel Glider Power,43003-38,https://www.mccabestheaterandliving.com/product-p/43003-38.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p2,43003-38-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
2,Denali Swivel Rocker Recliner,43003-33,https://www.mccabestheaterandliving.com/product-p/43003-33.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p1,43003-33-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
3,Kinsley Swivel Glider,77111-G3,https://www.mccabestheaterandliving.com/product-p/77111-g3.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p1,77111-G3-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
4,Pinecrest Power Wall Hugger,42306-31,https://www.mccabestheaterandliving.com/product-p/42306-31.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p1,42306-31-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
5,Pinecrest Rocker Recliner,42306-32,https://www.mccabestheaterandliving.com/product-p/42306-32.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p1,42306-32-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
6,Pinecrest Swivel Glider Recliner,42306-34,https://www.mccabestheaterandliving.com/product-p/42306-34.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p1,42306-34-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
7,Pinecrest Swivel Rocker Recliner,42306-33,https://www.mccabestheaterandliving.com/product-p/42306-33.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p1,42306-33-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
8,Pinecrest Wallhugger Recliner,42306-35,https://www.mccabestheaterandliving.com/product-p/42306-35.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p1,42306-35-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
9,Regent Power Rocker Recliner,41094-39,https://www.mccabestheaterandliving.com/product-p/41094-39.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p2,41094-39-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
10,Regent Rocker Recliner,41094-32,https://www.mccabestheaterandliving.com/product-p/41094-32.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p2,41094-32-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
11,Regent Wallhugger Recliner,41094-35,https://www.mccabestheaterandliving.com/product-p/41094-35.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p2,41094-35-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
12,Thea Power Recliner,77119-J2,https://www.mccabestheaterandliving.com/product-p/77119-j2.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p2,77119-J2-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
13,Thea Swivel Pushback Recliner,77119-M2,https://www.mccabestheaterandliving.com/product-p/77119-m2.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p2,77119-M2-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
14,Theo Power Rocker Recliner,42002-39,https://www.mccabestheaterandliving.com/product-p/42002-39.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p1,42002-39-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
15,Theo Rocker Recliner,42002-32,https://www.mccabestheaterandliving.com/product-p/42002-32.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p1,42002-32-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
16,Theo Swivel Glider Recliner,42002-34,https://www.mccabestheaterandliving.com/product-p/42002-34.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p1,42002-34-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
17,Theo Swivel Rocker Recliner,42002-33,https://www.mccabestheaterandliving.com/product-p/42002-33.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p1,42002-33-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
18,Theo Wallhugger Recliner,42002-35,https://www.mccabestheaterandliving.com/product-p/42002-35.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p1,42002-35-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
19,Tundra Power Rocker Recliner,41043-39,https://www.mccabestheaterandliving.com/product-p/41043-39.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p2,41043-39-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
20,Tundra Wallhugger Recliner,41043-35,https://www.mccabestheaterandliving.com/product-p/41043-35.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p1,41043-35-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
21,Zg5 Zero Gravity Recliner,41089-42,https://www.mccabestheaterandliving.com/product-p/41089-42.htm,Recliners,https://www.mccabestheaterandliving.com/category-s/186.htm,PLP uses NoPhoto.gif,,searchresults p2,41089-42-1.jpg,Upload in Volusion → Product Images; set as primary thumbnail
